Top TV shows on Netflix worldwide 2022,
The top 25 TV shows on Netflix worldwide in 2022,
,
Stranger Things,"63,800"
Manifest,"53,337"
Inventing Anna,"34,393"
Dahmer - Monster: The Jeffrey Dahmer Story,"34,086"
Bridgerton,"30,229"
Wednesday,"30,102"
Café con aroma de mujer,"28,765"
Pasión de gavilanes,"27,591"
All of Us Are Dead,"26,955"
The Crown,"25,874"
Extraordinary Attorney Woo,"24,352"
"Pablo Escobar, The Drug Lord","24,273"
Ozark,"23,757"
The Sandman,"23,026"
Business Proposal,"21,123"
Yo soy Betty la fea,"20,912"
Cobra Kai,"20,786"
The Lincoln Lawyer,"19,521"
Love Is Blind,"18,889"
Elite,"18,659"
Emily in Paris,"18,288"
1899,"17,988"
Alchemy of Souls,"17,326"
The Umbrella Academy,"17,073"
The Watcher,"15,699"
