RankSort descending,State,Percentage,Number
1,New Jersey,16.37,"1,122,000"
2,Texas,17.17,"3,602,000"
3,Florida,17.23,"2,903,000"
4,Hawaii,17.45,"185,000"
5,Maryland,17.57,"810,000"
6,Georgia,17.88,"1,406,000"
7,South Dakota,18.26,"118,000"
8,Iowa,18.5,"441,000"
9,Virginia,18.58,"1,199,000"
10,Connecticut,18.85,"526,000"
11,Illinois,19.18,"1,858,000"
12,North Carolina,19.31,"1,532,000"
13,Tennessee,19.4,"1,006,000"
14,South Carolina,19.43,"760,000"
15,California,19.49,"5,864,000"
16,New York,19.52,"2,972,000"
17,Pennsylvania,19.7,"1,963,000"
18,Arizona,20.06,"1,099,000"
19,Mississippi,20.16,"446,000"
20,Wisconsin,20.19,"904,000"
21,Nebraska,20.3,"290,000"
22,Michigan,20.32,"1,571,000"
23,Arkansas,20.34,"460,000"
24,North Dakota,20.5,"116,000"
25,Minnesota,20.53,"876,000"
26,Kansas,20.56,"442,000"
27,Montana,20.81,"171,000"
28,Delaware,20.92,"157,000"
29,Massachusetts,21.15,"1,157,000"
30,Louisiana,21.21,"734,000"
31,Alabama,21.29,"794,000"
32,New Mexico,21.39,"338,000"
33,Alaska,21.47,"113,000"
34,Nevada,21.97,"512,000"
35,Maine,22.1,"238,000"
36,Vermont,22.25,"112,000"
37,Indiana,22.29,"1,125,000"
38,New Hampshire,22.37,"243,000"
39,Rhode Island,22.38,"187,000"
40,Idaho,22.48,"293,000"
41,Oklahoma,22.54,"657,000"
42,Kentucky,22.54,"762,000"
43,Wyoming,22.56,"98,000"
44,Missouri,22.71,"1,056,000"
45,District of Columbia,22.83,"129,000"
46,Colorado,23.2,"1,014,000"
47,Washington,23.43,"1,360,000"
48,Ohio,23.64,"2,112,000"
49,Oregon,23.75,"783,000"
50,West Virginia,24.62,"347,000"
51,Utah,26.86,"599,000"
52,National,19.86,"49,564,000"
