,Word,neg,neu,pos,compound
0,set,0.0,1.0,0.0,0.0
1,backdrop,0.0,1.0,0.0,0.0
2,regency,0.0,1.0,0.0,0.0
3,"era,",0.0,1.0,0.0,0.0
4,eight,0.0,1.0,0.0,0.0
5,close-knit,0.0,1.0,0.0,0.0
6,siblings,0.0,1.0,0.0,0.0
7,noble,0.0,0.0,1.0,0.4588
8,powerful,0.0,0.0,1.0,0.4215
9,bridgerton,0.0,1.0,0.0,0.0
10,family,0.0,1.0,0.0,0.0
11,–,0.0,0.0,0.0,0.0
12,"anthony,",0.0,1.0,0.0,0.0
13,"benedict,",0.0,1.0,0.0,0.0
14,"colin,",0.0,1.0,0.0,0.0
15,"daphne,",0.0,1.0,0.0,0.0
16,"eloise,",0.0,1.0,0.0,0.0
17,"francesca,",0.0,1.0,0.0,0.0
18,gregory,0.0,1.0,0.0,0.0
19,hyacinth,0.0,1.0,0.0,0.0
20,–,0.0,0.0,0.0,0.0
21,navigate,0.0,1.0,0.0,0.0
22,london,0.0,1.0,0.0,0.0
23,high,0.0,1.0,0.0,0.0
24,society,0.0,1.0,0.0,0.0
25,search,0.0,1.0,0.0,0.0
26,"love,",0.0,0.0,1.0,0.6369
27,surrounded,0.0,1.0,0.0,0.0
28,friends,0.0,0.0,1.0,0.4767
29,rivals,0.0,1.0,0.0,0.0
30,alike.,0.0,1.0,0.0,0.0
