"","Title","Points"
"1","Stranger Things",63800
"2","Manifest",53337
"3","Inventing Anna",34393
"4","Dahmer - Monster: The Jeffrey Dahmer Story",34086
"5","Bridgerton",30229
"6","Wednesday",30102
"7","Café con aroma de mujer",28765
"8","Pasión de gavilanes",27591
"9","All of Us Are Dead",26955
"10","The Crown",25874
"11","Extraordinary Attorney Woo",24352
"12","Pablo Escobar, The Drug Lord",24273
"13","Ozark",23757
"14","The Sandman",23026
"15","Business Proposal",21123
"16","Yo soy Betty la fea",20912
"17","Cobra Kai",20786
"18","The Lincoln Lawyer",19521
"19","Love Is Blind",18889
"20","Elite",18659
"21","Emily in Paris",18288
"22","1899",17988
"23","Alchemy of Souls",17326
"24","The Umbrella Academy",17073
"25","The Watcher",15699
